"X0"	"X0.1"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"
"IMAGE:115443"	-0.53368	-0.651271	-0.552268	-0.551945	-0.573622	-0.373327	0.062459	0.346264	0.694045	0.643494	0.447745	0.238003	-0.041573	-0.324364	-0.642499	-0.950079	-0.574571	-0.681198	-0.124133	0.023681	-0.201202	0.507968	0.325901	0.924962	0.833173	0.952823	0.4085	-0.070129	-0.338948	-0.524301	-0.367066	-0.347058	0.100219	0.174221	0.429881	0.5201	0.33365	0.33034	0.205544	0.194732	0.701553	0.259828	-0.051872	-0.249248	0.056647	-0.571491	-0.271513	-0.677976
"IMAGE:759873"	-0.552461	-0.649362	-0.683675	-0.649275	-0.003821	-0.174353	0.307856	0.424452	0.595468	0.363605	0.343482	0.149109	0.335269	-0.095739	-0.407003	-0.688394	-0.681373	-0.507471	-0.00812	-0.241039	0.227789	0.127461	0.136032	0.343965	0.532898	0.739705	0.331743	0.242198	-0.362024	-0.2837	-0.433285	-0.329118	-0.010909	0.15951	0.439025	0.574389	0.285413	0.355535	0.317897	0.029154	0.428186	-0.0407	0.134704	-0.123809	-0.204429	-0.50265	-0.447243	0.076251
"IMAGE:898062"	-0.496237	-0.629391	-0.045369	-0.238892	-0.381493	-0.19965	0.370423	0.182973	0.695625	0.650284	0.415728	0.08561	0.335089	0.002449	-0.625651	-0.476549	-0.715958	-0.344026	-0.419957	-0.470242	0.679611	0.081068	-0.143441	0.22768	1.031049	0.428797	0.362932	-0.064544	0.172881	-0.553313	-0.262578	-0.327617	0.205955	-0.028097	0.391337	-0.131905	0.282749	0.005184	0.363301	0.163664	0.658461	-0.071494	0.088138	-0.375375	0.075062	-0.456707	-0.357263	-0.254316
"IMAGE:68950"	0.264316	0.24645	-0.019423	-0.092572	-0.189855	-0.4677	-0.331496	-0.649647	-0.627474	-0.362726	-0.532644	-0.139676	0.01892	0.496766	1.021544	0.656878	1.026148	0.390868	0.526541	-0.019927	-0.243516	-0.459827	-0.347795	-0.635719	-0.369247	-0.225738	0.138136	0.359322	0.309731	0.695269	0.375601	0.289696	0.282153	0.026751	-0.229492	-0.429507	-0.350263	-0.633798	-0.418908	-0.434532	-0.095867	-0.029223	0.167349	-0.0372	0.27473	0.240761	0.144965	0.141081
"IMAGE:194656"	-0.51539	-0.518643	-0.354843	-0.055522	-0.343532	-0.007503	0.202052	0.680299	0.813077	0.808469	0.406179	0.437421	-0.221273	-0.25207	-0.536944	-0.564272	-0.876416	-0.302308	-0.435644	0.232561	0.030136	0.60641	0.476258	0.887422	0.501984	0.446584	-0.140358	-0.357585	-0.633005	-0.12255	-0.208965	-0.151018	-0.395358	0.489144	0.005429	0.560344	0.294998	0.286489	0.141493	0.337223	-0.191235	0.184974	-0.13767	-0.142094	-0.387958	-0.072075	-0.516426	-0.020535
"IMAGE:258761"	-0.561239	-0.455638	-0.24662	-0.434941	-0.125529	-0.081665	0.126539	0.274206	0.491991	0.655978	0.309674	0.238998	0.067823	-0.081944	-0.348961	-0.519711	-0.468027	-0.112113	-0.119688	-0.16386	0.272724	0.376879	0.448412	0.592493	0.554534	0.380693	0.115424	-0.023876	-0.545361	-0.354743	-0.258347	-0.110793	-0.118789	-0.141442	0.117797	-0.169977	0.282549	0.400569	0.347765	0.333815	0.195917	0.2174	-0.217148	-0.060036	-0.206938	-0.065822	-0.260761	-0.018736
"IMAGE:951241"	-0.081222	-0.164441	-0.179484	-0.097499	0.006882	0.090797	0.147489	0.578597	0.581703	0.808884	0.286233	0.155838	-0.369677	-0.490763	-0.765179	-0.815112	-0.551853	-0.392207	-0.155963	0.127995	0.128949	0.443119	0.367892	0.740502	0.633612	0.198843	-0.077576	-0.272761	-0.503009	-0.501215	-0.445525	-0.203133	-0.155267	0.105365	0.231484	0.332397	0.309694	0.458918	0.04893	0.338113	0.393681	0.036134	-0.210514	-0.220129	-0.416825	-0.241365	-0.168296	-0.26147
"IMAGE:773147"	-0.446861	-0.103597	-0.163003	-0.23087	-0.280323	-0.269818	0.381611	0.342161	0.718974	0.581761	0.748297	0.51283	0.153699	-0.358098	-0.261029	-0.744644	-0.62944	-0.461009	-0.381825	-0.313245	0.174064	0.188476	0.300626	0.357465	0.333192	0.397504	0.300872	-0.251248	-0.178905	-0.363415	-0.444708	-0.265297	-0.136985	0.070359	0.47342	0.292671	0.203157	0.257293	0.250416	0.228576	0.454749	-0.17769	0.184365	-0.160989	-0.420569	-0.232178	-0.439066	-0.137896
"IMAGE:825606"	-0.145186	-0.107348	0.114311	0.23848	0.017367	0.213552	0.326172	0.407434	0.771978	0.608113	0.270344	0.06863	-0.109419	-0.660974	-0.473578	-0.612124	-0.546	-0.071482	0.158237	0.323769	0.190817	0.586806	0.428155	0.357381	0.569762	-0.199066	-0.505722	-1.03655	-0.45241	-0.578794	-0.152974	-0.152754	0.272087	0.073577	0.512436	0.172174	0.293224	0.256698	0.341396	-0.012903	0.103914	-0.164526	-0.524564	-0.09481	-0.411592	-0.308153	-0.183897	-0.015325
"IMAGE:2017415"	-0.247458	-0.53086	-0.563327	-0.157347	-0.075519	0.327363	0.791183	1.262098	1.262142	1.149911	0.814589	0.503116	-0.625587	-0.763618	-1.157008	-1.178237	-1.010848	-0.388348	-0.335898	0.231722	1.260251	0.557539	0.702894	0.689303	0.361985	0.186433	-0.10508	-0.467537	-0.584687	-1.151562	-0.582673	-0.631818	0.060073	0.321109	0.307517	0.462136	0.353807	0.44742	0.181636	0.418808	0.232587	0.15282	-0.404108	-0.468938	-0.48675	-0.344276	-0.214574	-0.103986
