CloneID	Ref	GeneSymbol	CommunityID
IMAGE:1543920	318684		5
IMAGE:1543943	312412		706
IMAGE:1543969	315102		657
IMAGE:1543987	312560		69
IMAGE:1544085	314261		70
IMAGE:1544096	315234		93
IMAGE:1544162	317022		492
IMAGE:1544179	#N/A	NA	364
IMAGE:1544256	315665		5
IMAGE:1544288	312076		808
IMAGE:155047	#N/A	NA	43
IMAGE:1550580	317452		70
IMAGE:1550734	317532		104
IMAGE:1550739	311176	ICBP90	124
IMAGE:1550776	306961		1
IMAGE:1550796	313864		462
IMAGE:1551117	318567	GPR14	182
IMAGE:1551395	316686		135
IMAGE:1551571	316672		59
IMAGE:1552117	315993		38
IMAGE:1552952	310536		5
IMAGE:1553249	318648		157
IMAGE:1553313	#N/A	NA	454
IMAGE:1553560	309359		139
IMAGE:1553696	#N/A	NA	389
IMAGE:1553961	225084		783
IMAGE:1554279	222352		61
IMAGE:1554367	103796	VDUP1	70
IMAGE:1554384	116656	SQSTM1	70
IMAGE:1554439	116187		723
IMAGE:1554469	116103		124
IMAGE:1554564	98468		70
IMAGE:155528	307487		139
IMAGE:1555287	111804		70
IMAGE:1555537	307165	FLJ11323	2
IMAGE:1555550	308459		61
IMAGE:1555740	115997	RPL29	70
IMAGE:1555924	310795	CSR1	70
IMAGE:1556132	309164		70
IMAGE:1556151	310464		70
IMAGE:1556290	108170		20
IMAGE:1556292	105562		1
IMAGE:1556476	#N/A	NA	553
IMAGE:1556541	318960		13
IMAGE:1556547	102165		390
IMAGE:1556638	307104		70
IMAGE:1556897	308808		61
IMAGE:1558326	310228		223
IMAGE:1558489	308426		38
IMAGE:1558494	113808		38
IMAGE:1558625	310828		70
IMAGE:1558664	118470		94
IMAGE:1559001	222968	CLIC4	38
IMAGE:1559533	114190		124
IMAGE:1559571	115771		346
IMAGE:1559703	220218	LOC56915	70
IMAGE:1560389	119772		16
IMAGE:1560603	317875		1
IMAGE:1560643	312939		4
IMAGE:1560702	#N/A	NA	64
IMAGE:1560945	309884		343
IMAGE:1561020	307579		70
IMAGE:1561088	317619		1
IMAGE:1561181	307400		44
IMAGE:1561539	307768		191
IMAGE:1561558	#N/A	NA	92
IMAGE:1561712	318100		70
IMAGE:1561714	315496		130
IMAGE:1562174	314176		47
IMAGE:1562215	313194		86
IMAGE:1562534	319748	DKFZP586D211	38
IMAGE:1562556	310706		5
IMAGE:1562637	315174		230
IMAGE:1562645	222881	NFKB2	70
IMAGE:1562697	315316		253
IMAGE:1562768	312539		23
IMAGE:1562790	318972		70
IMAGE:1562819	307442	MAGEB3	178
IMAGE:1562830	312617		70
IMAGE:1562965	318072		1
IMAGE:1563196	309046		145
IMAGE:1563224	#N/A	NA	489
IMAGE:1563239	#N/A	NA	70
IMAGE:156330	#N/A	NA	810
IMAGE:1563932	307030		203
IMAGE:1564174	310723		70
IMAGE:1564300	307559	HDAC3	70
IMAGE:1564601	308493		124
IMAGE:1564783	#N/A	NA	4
IMAGE:1565106	312952		215
IMAGE:1565118	318327		70
IMAGE:1565364	312040		61
IMAGE:1565452	#N/A	NA	669
IMAGE:1565623	316661	DYRK2	70
IMAGE:1565986	317632		23
IMAGE:1566109	316649		70
IMAGE:1566134	319414		211
IMAGE:1566164	315377	TRPC5	61
IMAGE:1566257	314478	UBQLN2	38
IMAGE:1566311	317164		61
IMAGE:1566572	319900		136
IMAGE:1566608	317296		9
IMAGE:1566767	#N/A	NA	266
IMAGE:1567658	119289		57
IMAGE:1568205	112739	KIAA0733	38
IMAGE:1568282	110590		164
IMAGE:156874	115645		54
IMAGE:1568989	308684		122
IMAGE:1569162	307907		135
IMAGE:1569355	116183		122
IMAGE:1569397	101183		38
IMAGE:1569502	106303		464
IMAGE:1569516	113564	ASCL1	139
IMAGE:1569810	117663		11
IMAGE:1569878	115057		135
IMAGE:1569921	100046		1
IMAGE:157028	116819		704
IMAGE:1570406	111425		220
IMAGE:1570414	309232		70
IMAGE:1570558	116087		139
IMAGE:1571451	307763		158
IMAGE:1573568	319844		70
IMAGE:1573635	108626	TIMM13B	70
IMAGE:1573944	310465	KIAA0103	70
IMAGE:1573946	307423	PDCD9	70
IMAGE:1574206	306849		197
IMAGE:1574257	#N/A	NA	225
IMAGE:1574571	116738		486
IMAGE:1574914	#N/A	NA	46
IMAGE:1575159	103794		101
IMAGE:1575311	118326		124
IMAGE:1576291	108365		747
IMAGE:1576307	115632		122
IMAGE:1577736	309352	EGF	2
IMAGE:1578190	307815		20
IMAGE:1578206	310427		139
IMAGE:1578307	318745		137
IMAGE:1578456	#N/A	NA	57
IMAGE:1578920	318054		41
IMAGE:1578926	311697	FLJ11142	160
IMAGE:1578966	313480		468
IMAGE:1579230	311024		139
IMAGE:1579951	319151		179
IMAGE:1580015	312782		841
IMAGE:1580149	#N/A	NA	61
IMAGE:1580182	316950		406
IMAGE:1580372	318441		241
IMAGE:1580424	314777		70
IMAGE:1580497	311104		88
IMAGE:1580898	318040		61
IMAGE:1581305	315789		1
IMAGE:1581339	315868		799
IMAGE:1581582	309676		70
IMAGE:1581757	307696		38
IMAGE:158184	116724	MDA5	38
IMAGE:1581848	314120		73
IMAGE:1582043	314169		136
IMAGE:1582141	306912		55
IMAGE:1582330	308975		70
IMAGE:1582435	#N/A	NA	139
IMAGE:1582523	309155		679
IMAGE:1582592	309007		70
IMAGE:1582602	312340		70
IMAGE:1583563	312450		70
IMAGE:1583779	308948		776
IMAGE:1583890	313026	KIAA0235	38
IMAGE:1584021	313543		115
IMAGE:1584372	307189		740
IMAGE:1584412	105187	ATRX	61
IMAGE:1584420	119715		70
IMAGE:1584447	110308		38
IMAGE:1584468	117582		139
IMAGE:1584536	307836	PAWR	139
IMAGE:1584553	309125		61
IMAGE:1584607	308795	PP3501	70
IMAGE:1584637	307417	FLJ13868	70
IMAGE:1584771	106199		142
IMAGE:1584859	111341		1
IMAGE:1584883	308551		434
IMAGE:1584932	101450	PPP1R6	163
IMAGE:1585036	309842		70
IMAGE:1585068	115904		74
IMAGE:1585211	100427		139
IMAGE:1585400	112826		1
IMAGE:1585533	314298		73
IMAGE:1585589	102488		36
IMAGE:1585671	306896	LOC51240	70
IMAGE:1585952	310794		2
IMAGE:1586016	224349	DAPK3	70
IMAGE:1586694	#N/A	NA	1
IMAGE:1586703	309770	GPR3	66
IMAGE:1587847	309852	MCM6	70
